% AIRS Jan04 fast model fitting results over the 48 training
% profiles at 6 angles.  BT is the mean of the 288 (=48*6)
% BTobs spectra, RMS is the RMS of BTobs-BTcal, and amax is
% the maximum absolute value of BTobs-BTcal.
%
% Scott Hannon, 8 January 2004
%
% ID     freq      BT      RMS    amax
%----  --------  ------  ------  ------
  580   841.111  270.71  0.0050  0.0198
  581   841.510  270.31  0.0064  0.0302
  582   841.910  269.79  0.0035  0.0451
  583   842.310  270.31  0.0065  0.0290
  584   842.710  270.71  0.0013  0.0045
  585   843.111  270.71  0.0013  0.0045
  586   843.512  270.67  0.0012  0.0040
  587   843.913  270.63  0.0012  0.0039
  588   844.315  270.58  0.0013  0.0044
  589   844.717  270.54  0.0015  0.0056
  590   845.119  270.50  0.0016  0.0052
  591   845.522  270.42  0.0035  0.0120
  592   845.925  270.38  0.0036  0.0122
  593   846.329  270.39  0.0015  0.0053
  594   846.732  270.39  0.0013  0.0045
  595   847.137  270.40  0.0013  0.0047
  596   847.541  270.39  0.0014  0.0051
  597   847.946  270.40  0.0014  0.0056
  598   848.352  270.42  0.0015  0.0064
  599   848.757  270.23  0.0021  0.0088
  600   849.163  268.69  0.0071  0.0679
  601   849.570  266.70  0.0107  0.0673
  602   849.977  268.38  0.0076  0.0715
  603   850.384  270.12  0.0027  0.0114
  604   850.791  270.30  0.0032  0.0133
  605   851.199  270.30  0.0036  0.0145
  606   851.607  270.10  0.0038  0.0133
  607   852.016  268.06  0.0085  0.0663
  608   852.425  264.93  0.0140  0.0495
  609   851.490  270.27  0.0038  0.0136
  610   851.797  269.91  0.0049  0.0184
  611   852.104  267.46  0.0093  0.0648
  612   852.411  264.03  0.0146  0.0499
